Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,TechSupport,Tenure,MonthlyCharge,Gender_Male,Gender_Nonbinary,Techie_TechSupport
5059,1,25,36229.21,0,9.447065309,9,2,0,0,0,7.161561527,140.00128,False,False,0
20450,1,66,25397.44,0,16.84100845,12,1,0,0,1,9.847563364,184.964681,False,False,0
2123,1,72,50336.5,0,7.972937227,10,1,1,0,0,16.04202196,147.473844,True,False,0
1164,3,21,38211.37,0,11.42906608,12,1,0,0,0,9.179779682,172.457857,False,False,0
23,3,55,52887.26,0,8.06137096,16,2,0,0,1,3.002844144,107.481989,True,False,0
895,4,41,12003.33,1,12.54780492,11,1,2,0,1,3.924254455,255.141716,True,False,0
6699,4,32,24090.62,0,8.255565152,13,0,0,0,1,18.55959629,192.456745,True,False,0
35743,0,22,15137.93,1,13.156514,6,0,0,0,0,8.798394712,242.632554,False,False,0
320,2,44,54458.38,1,10.58349704,5,1,0,0,0,10.377366,245.174977,False,False,0
7870,2,23,132116.33,1,12.50184778,11,1,0,0,1,22.25746016,184.964681,True,False,0
861,3,43,37358.13,1,9.750038902,11,1,0,1,1,9.427146079,195.006206,False,False,1
15364,1,86,26534.16,0,7.868660851,11,2,2,0,0,7.760290062,104.962874,False,False,0
2589,2,84,76430.83,0,12.43563329,14,0,1,0,1,11.56938439,92.488023,False,False,0
4901,2,62,4662.37,1,8.957166926,13,3,0,0,1,3.343811019,184.979684,False,False,0
39649,5,68,43820.85,1,8.015021713,12,1,0,0,0,7.338869531,187.656013,False,False,0
456,1,59,38391.55,0,4.210347704,8,0,0,0,0,5.486534225,149.962093,False,False,0
94,0,31,44137.6,1,11.13960534,6,0,0,1,0,1.55278221,169.944668,False,False,0
315,0,51,14364.65,1,9.03738856,11,2,0,0,0,12.07970325,160.00128,True,False,0
4969,1,58,62359.91,0,10.91594785,11,1,1,0,0,13.98666226,129.962093,False,False,0
46869,1,73,82634.86,1,8.387624096,11,0,1,0,0,9.563362997,114.950905,True,False,0
58431,1,33,15690.25,0,11.4487514,11,0,1,0,1,6.732948946,142.515576,False,False,0
26182,1,58,14568.7,1,10.22013704,15,2,0,0,1,15.72071086,220.14775,True,False,0
694,0,49,29207.46,0,8.425458142,9,1,0,0,0,7.233605493,124.97808,False,False,0
3093,1,26,55319.23,0,8.386280619,12,1,0,0,1,2.871017037,164.964681,False,False,0
2765,1,25,81831.49,0,9.565924291,10,3,0,0,1,2.344875382,194.976769,True,False,0
3757,0,42,100076.65,1,10.79349982,14,3,0,0,0,7.960490246,152.455519,False,False,0
4938,1,81,69965.65,0,6.081975067,15,0,0,0,0,12.25062113,92.5018,True,False,0
3761,1,43,34883.69,0,13.55065547,13,0,0,1,0,9.634946079,127.488728,False,False,0
1851,2,63,45634.2,0,9.470419821,14,1,0,0,0,7.916533093,184.963371,True,False,0
38476,3,70,10964.73,1,6.194985909,11,0,1,0,1,4.471254161,265.146969,False,False,0
13547,1,78,22365.28,1,10.80393657,19,1,0,0,0,10.79028074,207.609354,True,False,0
7801,0,48,52636.6,0,7.903964267,17,0,1,0,0,12.24190682,152.462354,True,False,0
17823,1,63,19048.13,1,11.27443693,18,2,1,1,0,2.203859443,200.132293,False,False,0
20269,4,60,42784.82,1,6.129509309,12,0,0,0,1,23.92132231,212.655686,False,False,0
30225,0,87,77996.88,1,7.969277912,17,0,0,1,1,3.7311787,255.119794,True,False,1
5760,3,54,47507.3,0,4.368120492,9,0,0,0,0,7.980015371,134.950905,False,False,0
61,3,35,7724.73,1,6.258356398,9,0,1,0,1,9.190009376,255.137219,True,False,0
34359,1,70,1509.52,1,12.92303286,16,0,0,0,0,2.378630018,214.966286,True,False,0
24693,2,67,81124.71,1,12.43301273,13,0,0,0,1,5.43464555,270.160419,False,False,0
4235,4,46,11795.57,1,7.607663559,11,0,0,0,1,1.092361222,200.165175,False,False,0
2193,1,50,74794.84,0,7.442789019,10,2,1,0,0,20.13981517,149.937833,True,False,0
273,1,24,19038.78,1,13.04429298,18,1,0,0,0,24.64873861,240.114868,False,False,0
14557,0,20,79167.77,0,14.89762162,17,0,0,0,0,9.677739656,127.495766,True,False,0
17653,1,29,37428.26,1,13.79387475,13,2,1,0,0,9.82814183,187.609354,False,False,0
285,0,31,45148.38,0,15.66367593,6,1,0,1,1,7.832238337,169.992756,True,False,1
320,5,72,74855.47,0,8.513410306,13,3,0,0,1,19.45250317,192.456745,False,False,0
2863,4,71,45323.86,0,8.265002035,10,1,0,0,1,14.34766616,120.004928,True,False,0
1206,2,32,71596.14,0,8.6026551,11,0,0,0,1,2.257358355,195.006206,False,False,0
35279,0,33,10389.95,0,6.03993035,15,1,0,0,0,2.358129018,139.95684,True,False,0
1049,3,67,19657.14,0,14.6040829,12,3,0,1,1,4.650578623,114.983787,True,False,1
32203,0,66,27827.03,1,7.274007029,13,1,1,0,0,3.721772616,207.638588,False,False,0
25576,4,21,15609.05,1,8.913898759,12,4,0,0,0,3.76663012,187.609354,False,False,0
319,0,61,19815.63,0,11.59313893,13,0,2,0,0,4.151256695,134.950905,False,False,0
55519,0,75,58482.9,1,8.294186076,13,0,0,0,0,2.188918771,192.470522,False,False,0
15210,0,63,41656.53,1,15.19664016,9,1,0,0,0,13.85488928,222.628057,False,False,0
3499,0,68,115510.46,0,5.083995994,3,1,0,0,1,3.273341151,162.468917,False,False,0
14479,2,32,15841.19,1,6.942719201,7,1,1,0,0,19.75096265,159.979358,True,False,0
4654,0,76,81127.41,0,9.834012571,7,1,0,0,1,18.38404445,184.979684,True,False,0
26320,0,29,24270.88,1,11.0596826,13,0,0,0,0,4.672610857,245.145743,False,False,0
35,0,83,54466.33,0,8.834079073,17,0,1,0,0,6.796299371,124.97808,False,False,0
521,10,23,64816.84,1,5.271228601,14,1,1,0,1,12.97632235,187.484705,True,False,0
17600,5,80,103311.26,0,9.394961367,15,1,0,0,1,20.31163945,162.500692,True,False,0
3324,0,20,40211.04,0,14.4754365,11,1,1,0,0,6.998814446,182.467607,True,False,0
55122,0,69,58077.38,1,10.68311773,12,1,1,0,1,14.46288204,222.660939,True,False,0
4038,1,32,43466.35,0,13.79409442,10,1,0,0,0,11.13472066,182.467607,True,False,0
31927,0,53,23289.77,1,12.40165307,19,1,0,0,0,2.542296644,220.161527,False,False,0
19904,2,25,49158.49,0,10.24782033,9,1,0,0,0,17.22596021,169.937833,True,False,0
13000,0,69,3805.84,1,14.86100819,16,0,2,0,0,22.79214163,204.963371,True,False,0
1444,3,71,52616.27,1,6.716953195,10,2,1,0,0,3.823689744,204.963371,True,False,0
2158,3,53,30550.42,1,8.124258176,18,1,0,0,0,10.77094687,245.128318,False,False,0
1800,2,56,12154.01,1,14.60903837,11,0,2,0,1,13.08671185,172.473314,False,True,0
30,0,42,30649.31,1,12.65015936,9,2,2,0,1,14.76468813,172.456745,True,False,0
3682,3,33,31417.33,1,12.0281501,14,0,0,0,1,9.473091121,194.976769,True,False,0
41733,1,47,55861.19,0,15.68043093,16,1,0,0,0,5.197446331,137.439154,True,False,0
630,1,48,9044.26,1,11.30421466,18,3,1,0,0,6.577552683,192.470522,False,False,0
15383,0,63,25381.66,1,10.26646787,10,1,0,0,1,3.174571918,159.951231,False,False,0
257,1,40,65064.31,0,7.56618217,9,0,0,0,0,17.88002366,112.455141,True,False,0
1012,0,67,12527.51,1,10.40677369,14,2,0,1,1,13.12190056,174.961766,True,False,1
20327,0,56,35499.06,0,7.146124361,13,3,0,1,0,23.34617699,162.452604,False,False,0
69,6,24,26282.4,0,9.807530479,10,1,0,1,0,6.311709178,137.483594,False,False,0
1130,2,79,51237.28,0,10.61217014,12,3,0,0,0,12.58298231,275.133571,False,False,0
4210,3,61,64222.21,1,5.785085772,16,1,1,0,0,7.120096363,127.442069,True,False,0
155,0,38,11014.98,1,9.062879297,11,2,0,1,1,9.344886869,210.138,True,False,1
37711,4,28,21172.49,0,16.54443477,13,1,0,1,0,22.37815032,147.456419,False,False,0
1800,3,44,26130.78,1,4.539566699,8,2,0,0,0,4.799514433,242.657291,True,False,0
8028,1,65,36478.21,0,7.251198724,14,2,0,1,1,10.04672315,114.983787,True,False,1
31859,3,35,54533.63,0,8.943293567,15,2,1,0,0,8.156552837,187.656013,False,False,0
16101,2,31,37103.18,0,12.57884215,9,3,1,0,0,7.992791229,149.991327,False,False,0
20449,2,34,74679.84,0,11.64836306,11,0,1,1,0,7.231032028,124.960655,True,False,0
161,2,68,95028.57,1,6.076260652,13,0,0,0,0,4.627672042,220.161527,True,False,0
29210,0,62,34281.1,0,11.75681641,9,0,0,0,1,10.05306287,172.48852,True,False,0
821,0,52,36240.81,0,9.173739977,14,0,1,0,1,4.171044392,120.004928,True,False,0
5846,5,32,9515.64,1,8.353693631,11,4,0,0,0,4.568682641,220.161527,True,False,0
4476,0,47,125814.88,1,10.74539526,10,0,1,0,0,6.085030507,139.965008,False,False,0
5529,8,66,12995.68,0,11.36323648,12,1,1,0,1,2.730250735,159.951231,False,False,0
25328,1,70,77531.43,1,2.310584634,14,1,0,0,1,8.574901206,184.949594,False,False,0
3736,3,41,87354.99,1,5.290318715,10,0,0,0,0,9.743201772,252.637807,True,False,0
610,2,59,76567.85,0,5.258274954,8,1,0,0,0,9.482919033,112.455141,True,False,0
34,1,46,30663.52,0,7.157580014,12,0,0,0,0,8.447988841,179.979358,True,False,0
3199,3,70,122957.19,0,2.120350511,17,0,0,0,0,6.365998533,202.443347,True,False,0
1135,1,89,31600.92,0,4.978546291,12,2,0,0,1,7.251397592,197.472533,True,False,0
1750,4,75,74638.78,1,6.547676875,10,3,1,0,0,14.64011644,255.155493,False,False,0
1076,0,26,32652.3,1,7.410590719,9,0,1,1,1,11.71637124,174.976769,False,False,1
1692,4,25,63650.54,0,11.39765385,8,1,1,0,1,4.13273503,169.992756,False,False,0
43123,1,84,28622.6,1,11.29945603,14,1,0,0,0,2.887429547,192.440432,False,False,0
2396,3,69,50252.79,0,11.30748265,15,0,2,0,0,3.303030246,182.460772,True,False,0
12914,3,31,19800.81,0,10.31551212,11,2,1,0,0,5.15825129,139.965008,True,False,0
15171,10,76,35954.77,1,13.71555406,14,1,0,0,0,3.237560234,137.461553,True,False,0
5157,8,75,36342.31,1,15.40917963,15,2,0,0,1,2.733109234,217.472533,True,False,0
828,1,74,48715.53,1,11.9664542,17,1,0,0,1,3.180102025,210.138,False,True,0
98,1,49,23204.98,0,10.18046877,10,2,0,0,1,15.85983755,104.964303,True,False,0
15671,1,47,35302.52,1,14.01485542,16,1,1,0,0,11.73724209,262.610632,True,False,0
2229,4,20,54895.16,1,14.62784306,17,2,0,0,1,7.006240694,152.488401,False,False,0
4982,2,26,60398.06,1,10.90517581,10,2,0,0,1,5.562130367,174.974431,False,False,0
18575,2,72,8115.88,0,8.894475174,8,0,1,0,1,14.53027663,220.118516,False,False,0
15715,1,41,33858.66,0,10.50187888,13,0,0,1,0,5.905906389,162.452604,True,False,0
6252,3,26,29950.47,1,12.34250072,12,2,1,0,0,3.260462654,184.961033,False,False,0
3834,4,55,49421.69,0,10.29380879,12,3,0,0,0,18.91276578,217.483972,True,False,0
19556,1,46,11061.05,0,8.512650562,11,2,1,0,1,14.25617986,220.118516,False,False,0
47732,0,87,15388.32,1,7.82671592,13,1,2,1,1,7.983887266,187.642236,False,False,1
86926,1,39,20624.31,0,6.985590245,9,2,1,1,1,5.969967132,174.961766,True,False,1
69,0,81,47877.81,1,11.40449185,12,0,0,0,0,19.95277818,252.637807,True,False,0
15033,0,83,46154.17,0,10.44249511,13,1,0,0,1,14.85781115,130.024412,True,False,0
2673,0,50,107111.8,1,15.38627887,12,2,0,0,0,2.600063739,162.482694,False,False,0
1879,3,87,10403.59,1,10.68024546,13,2,1,0,0,11.92299244,182.467607,False,False,0
358,3,76,22412.6,0,10.62439366,13,0,0,0,0,5.972864167,139.934918,False,False,0
32653,6,25,19476.27,1,10.91642397,13,1,0,1,1,10.87555535,200.165175,False,False,1
10398,3,34,96382.76,1,8.580626195,14,0,0,0,1,16.00330155,202.682861,True,False,0
2081,1,46,28022.56,0,8.996933306,11,0,1,0,1,12.63074989,159.951231,False,False,0
3410,1,73,35478.4,0,7.602570192,7,2,0,0,1,8.4944392,149.948316,False,False,0
377,8,57,10155.51,1,9.217689334,12,1,1,0,0,8.044444101,149.959755,False,False,0
1917,3,58,87537.25,0,9.591529444,14,0,1,0,1,12.07358377,137.469817,True,False,0
2482,4,70,34112.1,1,13.36027908,12,0,0,0,0,10.21634248,187.656013,True,False,0
902,0,53,32653.51,1,4.372034777,7,1,0,0,0,15.50354683,164.985293,True,False,0
43714,0,31,35321.46,1,10.59285179,11,0,3,0,0,13.88004531,159.965008,True,False,0
3066,0,38,49277.48,0,12.81260566,10,1,0,0,0,19.48900163,172.462354,False,False,0
13365,0,26,37297.82,1,3.767298987,11,0,0,0,1,10.01771765,204.949594,False,False,0
207,2,44,14928.96,0,17.56798903,14,2,0,0,0,7.34059599,147.473844,True,False,0
689,3,66,24702.68,1,11.2369761,11,3,2,1,1,12.64742067,162.471255,False,False,1
99,1,58,87535.71,0,8.54892416,15,0,1,0,0,8.850426839,119.95684,True,False,0
509,6,51,63166.87,1,6.094109902,11,2,0,0,0,3.701557118,207.609354,False,False,0
933,4,34,11856.81,0,13.9077275,14,1,0,0,1,2.976033785,194.999168,False,False,0
4991,0,87,27326.79,0,7.905333122,14,1,0,0,0,5.522376826,174.975543,False,True,0
1579,1,67,12779.23,1,12.53830949,9,2,1,0,0,15.64596698,240.114868,False,False,0
19669,4,59,25519.91,1,12.8219418,12,1,1,0,0,23.00764441,240.114868,False,True,0
530,7,23,46871.21,0,8.941553742,10,0,0,0,1,17.24924155,139.983006,True,False,0
1469,0,42,77383.72,1,10.51043963,12,0,0,0,0,13.01107597,240.114868,True,False,0
324,1,24,47395.3,1,11.86384439,11,3,0,0,1,5.104082209,209.993134,False,False,0
10482,2,81,90977.74,0,10.76051016,10,3,0,0,0,3.521499924,147.456419,False,False,0
3151,8,78,135727.71,0,11.05420024,14,0,0,0,0,8.08137067,107.495766,True,False,0
1919,1,51,47726.25,1,8.174495258,8,5,0,0,0,1.875430489,152.502178,False,False,0
241,1,70,51721.64,0,10.05388383,12,2,0,0,0,5.587484456,79.978861,False,False,0
673,0,87,41531.03,0,7.045552801,13,2,0,0,0,7.007695148,142.482694,False,False,0
2649,0,46,33504.8,0,8.957297136,14,1,0,0,0,1.408375942,117.439154,False,False,0
1655,8,56,34197.3,1,15.74015572,14,2,1,0,0,11.64983735,220.132293,False,False,0
1598,4,44,11518.58,1,13.41209586,11,3,0,1,0,2.964559883,152.455519,True,False,0
6658,0,33,31065.17,0,14.89835355,9,2,1,0,1,10.25635754,174.961766,False,False,0
823,0,19,32097.17,1,13.62135046,14,1,1,0,0,3.892407013,202.443347,False,False,0
13287,1,31,23424.88,1,14.95912113,12,2,1,0,0,3.226996711,210.12704,True,False,0
2394,1,34,35988.24,0,11.741245,9,0,0,0,0,15.87685513,139.979239,False,False,0
9295,4,43,35539.7,0,7.765121655,11,0,1,0,0,5.874064017,139.965008,True,False,0
315,1,82,27959.34,0,7.130431693,5,1,0,0,0,3.756359276,137.439154,True,False,0
2998,6,36,52232.97,0,8.359515606,13,1,0,0,0,2.905283283,102.474625,False,False,0
178,1,48,18198.59,1,9.42799205,17,3,0,0,0,1.474810061,252.637807,True,False,0
1423,0,52,16851.94,1,10.95510131,11,0,1,0,1,18.56165869,194.999168,True,False,0
1935,1,35,16440.05,1,10.8621377,16,1,0,0,0,12.39088509,242.610632,False,True,0
90517,3,83,44223.58,0,7.352533505,15,2,0,0,0,14.17192333,127.458638,False,False,0
239,0,20,33343.73,0,11.38860234,14,1,0,0,0,3.86023041,129.976324,True,False,0
1003,0,25,30664.56,1,9.580144161,13,4,0,0,0,17.72593456,240.114868,False,False,0
2817,0,88,31934.04,0,10.79191234,18,1,0,0,0,3.043063167,174.975543,True,False,0
884,1,54,26676.4,0,9.982341124,8,0,0,0,0,5.827112819,169.944668,False,False,0
11245,1,46,67211.95,1,6.511921085,12,0,1,0,0,4.648958177,162.511928,True,False,0
19215,2,75,31136.77,0,10.70500472,14,1,0,0,0,11.96274778,119.95684,False,False,0
2733,5,66,40660.84,0,11.58410296,11,0,1,0,0,4.525864256,137.439154,True,False,0
1204,0,51,10606.59,0,8.01651453,12,1,1,1,1,8.038308899,207.46728,False,False,1
62430,3,81,92447.71,0,15.12148226,12,0,0,0,0,1.416592892,149.974105,False,False,0
1028,0,75,13612.16,0,12.63643487,18,0,0,0,1,19.83504645,225.178625,True,False,0
28666,3,54,13765.39,1,16.68178185,8,2,0,0,0,15.85002222,232.637807,False,False,0
44451,2,73,53019.98,0,11.08409914,10,2,1,0,1,15.94935291,117.472036,True,False,0
266,0,53,42523.02,0,12.99948061,12,1,1,0,1,11.94550648,137.469817,True,False,0
33649,8,33,52143.7,0,11.17949466,14,1,1,0,0,16.03360405,220.132293,False,False,0
1994,5,41,19097.94,0,7.369412654,13,0,1,0,0,21.29342532,124.960655,False,False,0
1869,1,59,11301.4,0,9.84688181,11,0,0,1,1,4.95598008,199.990219,False,False,1
27590,3,23,17814.0,1,18.19542503,14,0,0,0,0,2.73951266,159.947583,False,False,0
21792,1,32,22533.05,1,13.53989069,13,1,1,0,0,4.973046104,245.145743,False,False,0
8770,3,51,19974.4,1,5.458806701,10,2,0,0,0,10.28430068,255.155493,False,False,0
3378,1,46,45146.99,0,12.0772854,11,1,1,0,0,2.581692044,134.950905,False,False,0
1748,3,37,10330.1,1,6.918984305,9,1,0,0,0,6.945736396,159.947583,True,False,0
1598,0,53,15281.28,0,14.84155042,8,3,0,0,1,9.999416271,139.987503,True,False,0
4335,1,62,11217.96,1,12.66717474,15,2,0,0,0,6.035737465,179.947583,True,False,0
2299,1,57,17516.0,0,11.43786808,13,0,1,0,0,9.004964377,127.473844,False,False,0
12275,2,80,20566.64,1,6.915228797,10,1,0,0,0,5.071456681,232.637807,False,False,0
1065,1,43,36128.68,1,11.30215199,12,1,1,0,1,12.02106494,195.006206,True,False,0
24438,1,35,52129.84,1,9.513085538,10,1,0,1,1,5.049303717,267.642733,True,False,1
47974,1,63,25985.06,0,9.497106973,11,1,0,0,0,18.17247008,149.959755,False,False,0
788,1,63,10909.79,1,12.21852573,15,2,0,0,0,15.31997698,220.114868,False,False,0
16882,1,27,41151.14,0,8.272244827,11,3,0,0,0,16.0708543,157.483594,False,False,0
165,4,19,64063.23,0,10.24857935,14,3,0,0,1,7.873371451,127.474951,False,False,0
109,1,40,20414.07,0,6.743431946,12,1,1,1,0,23.62866494,139.981577,False,False,0
11116,0,42,41412.1,1,12.4703522,8,1,0,0,0,25.8634566,255.133571,True,False,0
1083,0,40,99195.08,1,7.913676085,16,1,0,0,0,9.405224809,194.966286,False,False,0
15604,0,72,18408.94,0,9.362849722,12,2,0,1,1,12.84490034,179.965581,False,False,1
37,3,61,15930.45,1,17.41324465,10,0,1,1,1,16.59325254,174.976769,True,False,1
57344,0,71,25611.29,0,13.43700846,11,0,0,0,0,20.35456039,187.609354,True,False,0
39035,4,68,9428.86,0,11.95206054,7,0,1,0,0,12.00925702,169.937833,False,False,0
27698,1,88,3810.16,0,4.550449856,17,2,1,0,0,2.861423443,115.002061,False,False,0
13,1,64,118022.06,1,6.09060584,11,2,0,1,0,14.20349453,152.462354,True,False,0
3639,1,63,51992.79,1,10.2863601,10,1,1,0,0,4.98152586,207.609354,False,False,0
2950,0,53,79993.43,0,11.17709222,12,0,2,0,0,23.12150846,147.503078,False,False,0
15041,0,41,37706.85,0,14.12145884,14,0,0,1,1,6.307178205,200.118516,True,False,1
5188,2,63,22466.53,0,7.799780591,13,1,0,0,0,12.73622643,137.497825,True,False,0
1317,4,56,16608.27,0,7.122072827,14,0,0,0,0,12.00466914,134.980139,False,False,0
4755,2,27,25146.14,0,9.329902365,6,0,0,1,0,2.243757398,147.442069,True,False,0
3658,2,47,58882.35,0,7.509389052,18,0,0,0,1,1.583394702,197.494455,True,False,0
30733,4,42,31809.46,0,15.06990851,14,2,0,0,1,14.23487852,162.529926,False,False,0
2431,0,72,27235.54,1,9.321265424,14,0,0,0,0,15.28108311,210.151777,False,False,0
529,3,58,70476.82,1,3.564651961,9,2,0,0,1,4.135827839,159.965581,True,False,0
346,0,33,49396.09,1,7.779622319,12,3,0,0,0,9.740709475,190.173699,True,False,0
110,6,87,35060.94,1,10.74985413,8,0,1,0,0,1.213704886,202.649979,False,False,0
34993,0,34,66055.53,0,7.738373361,11,2,0,0,0,11.86252419,134.950905,False,False,0
36260,7,76,91335.76,0,12.01267388,11,1,0,0,1,2.416685985,142.500692,True,False,0
671,3,38,54349.75,0,14.04748759,21,0,1,1,0,6.73327535,114.997564,False,True,0
41839,0,47,75042.1,1,3.11231175,12,1,1,0,1,6.549035393,232.62403,False,False,0
16546,7,84,91001.1,1,8.284591121,8,1,0,0,0,10.57197066,242.628057,True,False,0
4,4,19,44426.28,1,6.269792565,20,0,0,0,0,3.379756569,202.443347,True,False,0
32603,0,87,63284.16,0,9.803905459,16,1,1,0,1,8.959047529,124.993537,False,False,0
607,3,75,14039.21,0,8.571019738,5,1,0,0,1,10.23679934,174.976769,True,False,0
1067,0,37,12453.24,1,10.00344746,14,0,1,0,0,14.96503088,225.145743,True,False,0
7655,1,52,15934.12,1,4.255224068,12,0,1,0,0,23.79323993,275.133571,False,False,0
5981,0,24,48314.4,1,11.2714618,14,1,0,0,1,11.45675389,287.642733,True,False,0
655,4,83,5511.77,1,8.477982632,19,0,0,0,0,11.04076215,177.65076,True,False,0
16395,3,19,10701.11,1,9.753145376,19,0,1,0,0,7.425503428,220.114868,False,False,0
198,1,78,10767.15,1,14.57387887,13,0,0,0,1,2.411712843,197.516854,True,False,0
3473,4,61,13493.63,0,13.13441554,15,1,1,0,1,2.009542213,194.974431,False,False,0
2992,0,38,25071.58,1,11.62771397,15,0,0,0,0,9.068119482,175.133074,True,False,0
2914,0,79,368.5,1,6.114030983,11,0,1,0,0,1.926789854,147.478341,True,False,0
617,0,49,27976.63,0,12.76603868,8,2,1,0,0,11.77389421,134.980139,False,False,0
444,0,41,56154.5,0,6.348897952,10,3,0,0,0,2.585228303,157.483594,False,False,0
48969,0,75,62145.59,0,16.10939031,9,2,1,0,1,9.517703088,255.141716,False,False,0
17307,1,60,6517.94,0,7.151598137,13,0,0,0,0,9.532523799,137.439154,False,False,0
25764,1,70,19090.03,0,4.575363954,13,0,0,0,1,23.103996,235.159141,True,False,0
671,0,23,13194.33,1,13.42263904,9,0,0,0,1,5.104873611,147.460067,True,False,0
3064,2,84,63963.36,1,3.559550725,8,1,0,1,0,6.877942744,232.637807,False,False,0
25619,1,63,34447.89,1,5.971214226,13,3,0,0,0,21.17839683,137.439154,True,False,0
22547,2,88,36315.29,0,7.287197615,16,3,0,0,1,1.586331702,129.948316,False,False,0
545,0,44,5009.07,1,11.30031859,18,3,0,0,0,3.778174405,242.632554,False,False,0
398,1,49,14202.72,1,10.26519974,17,0,0,1,0,11.58276897,187.609354,False,False,0
217,8,32,54779.76,1,16.28075484,14,0,0,1,0,11.62258922,232.652038,True,False,0
32084,1,69,36453.31,0,10.96553586,8,1,0,0,1,20.78013031,159.980465,False,True,0
5148,2,60,11250.71,1,10.93514898,16,1,1,0,0,3.940297464,159.947583,False,False,0
2526,0,57,65951.35,0,2.98020454,11,0,0,1,1,11.38099891,137.487242,False,False,1
30097,8,62,15292.25,1,17.05256354,14,0,1,0,1,1.473304337,245.131966,False,False,0
703,0,26,41879.1,0,12.29165611,11,0,1,0,0,12.75609778,117.439154,True,False,0
7334,0,85,17080.57,1,10.32744663,10,0,1,0,1,6.253919786,209.993134,False,False,0
61045,2,82,68122.23,0,9.22949351,18,0,0,0,0,18.9537053,169.974105,False,False,0
117,2,40,39468.79,0,10.02758972,11,1,1,0,1,9.640061615,197.470195,False,False,0
29426,0,50,123763.12,1,7.259022839,10,1,0,0,1,5.201330266,137.516476,True,False,0
26659,1,71,84301.44,1,10.97274944,10,0,1,0,1,12.42120946,207.475448,True,False,0
